,CT0013ZZ,CT0024ZZ,CT0053ZZ,CT0059ZZ,CT0061ZZ,IA0027ZZ,IA0030ZZ,IA0087ZZ,IA0112ZZ,IA0119ZZ,IA0121ZZ,IL0032ZZ,IL0054ZZ,IL0154ZZ,IL0173ZZ,IL0205ZZ,IL0214ZZ,IL0236FC,IL0302ZZ,IL0303ZZ,IL0311ZZ,IL2125ZZ,IN0031ZZ,IN0048ZZ,IN0096ZZ,IN0133ZZ,IN0300ZZ,IN1703ZZ,MA0011ZZ,MA0013ZZ,MA0050ZZ,MA0051ZZ,MA0076ZZ,MA0113ZZ,MA0131ZZ,MA0153ZZ,MA0158ZZ,MI0000BC,MI0000MC,MI0029ZZ,MI0072ZZ,MI0073ZZ,MI0118ZZ,MI0137ZZ,NE0036ZZ,NE0051ZZ,NE0056ZZ,NE0531ZZ,NJ0000FB,NJ0145ZZ,NY0281ZZ,NY0300ZZ,NY0304ZZ,NY0371ZZ,OH0033ZZ,OH0046ZZ,OH0192ZZ,OH0194ZZ,OH0195ZZ,OH0215ZZ,OH0301ZZ,OH0302ZZ,PA0000ER,PA0000NC,PA0158ZZ,PA0233ZZ,PA0267ZZ,RI0009ZZ,RI0010ZZ
Mon-00:00,,0.00016477496111177588,,0.00030126917578128423,,,,0.00016962202726796945,,0.00011001639045711164,5.8980392156862736e-05,0.00044361134341429446,0.00039724607341217805,0.00022541490372887627,9.180533222521334e-05,0.00017566073734001872,,0.00018243549719309542,,0.00019317276204612247,0.00014071550255536627,0.00024216994352906055,,,,8.141674696945963e-05,0.00017856154954072728,0.00027215057591105856,,,,,,,,,,7.774462833208618e-05,0.0002468854379127204,0.00014659964632953538,0.00010333275321963104,0.00012871847930339168,,9.434255000831164e-05,8.787032536733915e-05,0.00021451518895857134,,,0.00013992276263502548,0.00020931867474384863,,,,0.00021371463498598395,,,,8.500743519071027e-05,,,,,0.00017852998411083142,,,,,,
Mon-00:15,,0.000158450282901147,,0.00031232951206462537,,,,0.0001668987785298005,,0.00011165543616827537,6.149019607843137e-05,0.0004406645825182782,0.0004003420294263248,0.00022970483584700924,9.438893807175078e-05,0.0001750240876051871,,0.000181274236675953,,0.00020028208576693853,0.00015283456369487032,0.00023573507583358902,,,,8.209081573396754e-05,0.00017694638479710288,0.00027267158523561967,,,,,,,,,,7.558505532286157e-05,0.00025340495567357987,0.00014727071336498662,0.00010640735584174497,0.00012982109007423745,,0.00010184887608282078,8.787032536733915e-05,0.00021400927890331757,,,0.0001455196731404265,0.00020994690000747886,,,,0.00020422658901058754,,,,9.802849051421211e-05,,,,,0.00017852998411083142,,,,,,
Mon-00:30,,0.0001541768516777491,,0.00030300585031268915,,,,0.00017394196907737753,,0.0001206519759606629,6.128104575163398e-05,0.0004391319797136509,0.000399735253084705,0.0002291580797927374,9.810475347341415e-05,0.00017970104074831249,,0.0001817775195643348,,0.00024059485789095623,0.0001800066250236608,0.00024945892381813206,,,,8.083603514651502e-05,0.00017556649995707733,0.00026930460012082597,,,,,,,,,,7.558505532286157e-05,0.0002448635877138068,0.00014727071336498662,0.00010411590671771667,0.00014648108569400287,,9.421695203265548e-05,9.06162730350685e-05,0.00021434033525283844,,,0.00013992276263502548,0.00021648343429810785,,,,0.00019900658296858863,,,,8.871555896532454e-05,,,,,0.00017257898464047037,,,,,,
Mon-00:45,,0.00015986906206731508,,0.0003025848383050758,,,,0.00017417260252100097,,0.00011258422873793481,5.751633986928105e-05,0.000443424703260101,0.0003976899047004216,0.00022999924295315563,8.901094268490246e-05,0.000176279645495959,,0.0001814226316305246,,0.0002927640474066097,0.0001531752791974257,0.0002610848059174247,,,,8.101958438755474e-05,0.00017544568054712116,0.00027335040316484553,,,,,,,,,,7.558505532286157e-05,0.000244407197237424,0.00014727071336498662,0.00010107030978071702,0.0001499852733492935,,9.721283315786556e-05,8.787032536733915e-05,0.00021503975007576993,,,0.0001455196731404265,0.00020928875925510434,,,,0.0002052874516113168,,,,6.804146657952813e-05,,,,,0.00017852998411083142,,,,,,
Mon-01:00,,0.00015896309464795473,,0.00030038329634859794,,,,0.00017835061605741,,0.00011421416863959205,6.274509803921569e-05,0.0004373373628464059,0.00040139574077149046,0.0002271645231025462,8.934819659493999e-05,0.0001777494670702648,,0.0001801794738978875,,0.00028894016517741743,0.00013842513723263296,0.0002770807592480492,,,,8.109395347659669e-05,0.00017808781027537287,0.0002702954213218699,,,,,,,,,,7.774462833208618e-05,0.0002492998646983986,0.00014727071336498662,0.00010717600649727345,0.0001387779145552174,,9.623760181747658e-05,8.787032536733915e-05,0.00021886088639171895,,,0.00013992276263502548,0.00021627402587689776,,,,0.0002169288378987895,,,,6.816459712632246e-05,,,,,0.00017257898464047037,,,,,,
Mon-01:15,,0.00016200577767901402,,0.00030561086210979647,,,,0.0001762483035136118,,0.00011257512292842833,6.25359477124183e-05,0.0004243084443902071,0.00040011390635159817,0.00022926743100359177,9.412395285672128e-05,0.00018306648179031637,,0.00018004647841973374,,0.0002914763163506107,0.00015036437630134393,0.0002514905508611611,,,,8.03724150807854e-05,0.00017696864100420005,0.00027072066130237875,,,,,,,,,,7.558505532286157e-05,0.00024911003857105356,0.0001482630634598817,0.00010136036663185985,0.00013010807095980003,,9.419109362590275e-05,9.06162730350685e-05,0.00021310470239899282,,,0.0001455196731404265,0.00021248971655074415,,,,0.00021677778792583797,,,,6.858845035471069e-05,,,,,0.00017852998411083142,,,,,,
Mon-01:30,,0.00015474094459923761,,0.000306926524633588,,,,0.00018526961936611285,,0.00011270260426151885,5.6888888888888895e-05,0.00041945221114744215,0.0004011629621238103,0.0002311936946409495,8.633097857835433e-05,0.00018478468546910098,,0.00018251249457518443,,0.0002874618356302437,0.00014160041643005868,0.0002469629248795535,,,,8.104648384529331e-05,0.00017816729672929138,0.00027243186071402973,,,,,,,,,,7.774462833208618e-05,0.00024701872008723924,0.0001482630634598817,0.00010033066481030282,0.00012908098147462862,,9.775216564156554e-05,8.787032536733915e-05,0.00021474366446739562,,,0.00013992276263502548,0.00021464363174033356,,,,0.0002147719847966446,,,,6.86476477329772e-05,,,,,0.00017852998411083142,,,,,,
Mon-01:45,,0.0001594075314951881,,0.0003021199708800028,,,,0.00018321165940762688,,0.00011403205244946275,6.169934640522875e-05,0.0004209022615761761,0.00039906950615233966,0.00023113481321972024,9.254006395779508e-05,0.0001790220841715092,,0.00018766291946073832,,0.00029402199744836267,0.00013955139125496876,0.00024492300548124683,,,,8.065881518964909e-05,0.00017953446373669,0.0002667880949670499,,,,,,,,,,7.558505532286157e-05,0.0002521876451463075,0.0001482630634598817,0.00011483350736744403,0.00012972291240286073,,0.00010399881790140558,8.787032536733915e-05,0.00021382276828386918,,,0.00013992276263502548,0.00021211577294144042,,,,0.00020959764502553798,,,,6.749685069947621e-05,,,,,0.00017257898464047037,,,,,,
Mon-02:00,,0.0001675526914069845,,0.0003077246932313549,,,,0.00018374389043137324,,0.00011146421416863958,6.044444444444444e-05,0.0004232567989060016,0.0004026279157465444,0.00022695423231244166,9.211247417899751e-05,0.0001772308670719025,,0.00019239055872100348,,0.00029259727372683185,0.00015050634109407533,0.0002813347375054937,,,,8.078856551521164e-05,0.00017915928767419455,0.00027106278072012524,,,,,,,,,,7.558505532286157e-05,0.000258424443143036,0.0001482630634598817,0.00010107030978071702,0.00012702680250428584,,0.00010470807705805212,8.787032536733915e-05,0.00021550602662439092,,,0.00013992276263502548,0.0002098272380525017,,,,0.0002018097894433633,,,,6.781414864698472e-05,,,,,0.00017852998411083142,,,,,,
Mon-02:15,,0.0001640484778037982,,0.0003054617536904334,,,,0.0001837527609484357,,0.00011017118921872154,6.295424836601307e-05,0.00043387734152635753,0.00040256739329814757,0.00022618036220485688,8.917354724867055e-05,0.000176226420759285,,0.00019661001525948115,,0.00029283075687852085,0.00015869770963467726,0.0002758037365352881,,,,8.074426052599517e-05,0.00017554424374998013,0.0002652437390038422,,,,,,,,,,7.558505532286157e-05,0.00026125971849189197,0.00014714505023286542,0.00010210001160227405,0.00013288725427261673,,0.00010152749302746532,9.06162730350685e-05,0.00021683258340521764,,,0.0001455196731404265,0.00021669284271931793,,,,0.0002044338436246373,,,,6.704458272952008e-05,,,,,0.00017852998411083142,,,,,,
