,CT0013ZZ,CT0024ZZ,CT0053ZZ,CT0059ZZ,CT0061ZZ,IA0027ZZ,IA0030ZZ,IA0087ZZ,IA0112ZZ,IA0119ZZ,IA0121ZZ,IL0032ZZ,IL0054ZZ,IL0154ZZ,IL0173ZZ,IL0205ZZ,IL0214ZZ,IL0236FC,IL0302ZZ,IL0303ZZ,IL0311ZZ,IL2125ZZ,IN0031ZZ,IN0048ZZ,IN0096ZZ,IN0133ZZ,IN0300ZZ,IN1703ZZ,MA0011ZZ,MA0013ZZ,MA0050ZZ,MA0051ZZ,MA0076ZZ,MA0113ZZ,MA0131ZZ,MA0153ZZ,MA0158ZZ,MI0000BC,MI0000MC,MI0029ZZ,MI0072ZZ,MI0073ZZ,MI0118ZZ,MI0137ZZ,NE0036ZZ,NE0051ZZ,NE0056ZZ,NE0531ZZ,NJ0000FB,NJ0145ZZ,NY0281ZZ,NY0300ZZ,NY0304ZZ,NY0371ZZ,OH0033ZZ,OH0046ZZ,OH0192ZZ,OH0194ZZ,OH0195ZZ,OH0215ZZ,OH0301ZZ,OH0302ZZ,PA0000ER,PA0000NC,PA0158ZZ,PA0233ZZ,PA0267ZZ,RI0009ZZ,RI0010ZZ
Mon-00:00,9.893703152341402e-05,0.00014112579272149194,7.915311275999244e-05,0.00018970099376375963,0.00018914359714191593,0.00014754098360655736,0.00017983617040220816,0.00012287440234891292,0.0001259768276488505,0.0001213485703879075,5.803921568627451e-05,0.0003334111000642473,0.00028510883953636703,0.00021557750056778514,3.631501924154005e-05,0.00014298961981161173,,0.000156866766529938,0.00018271571281132552,0.0001572199304077259,0.00014819941321219006,0.0002357931223205327,0.00010061099079111864,,0.00011647005756087039,7.843723644465119e-05,0.0001549318165198287,0.00026662305848736237,0.0001384037633370073,0.00010439441982437451,0.00039860125806386786,0.00024424324355027435,,0.00016680775884279878,0.00018549753498636499,0.00016431283682314448,0.0003051742607309235,7.126590930441233e-05,,0.0001024050887091028,0.00011778483582782225,0.0001229864137207072,,0.00012119835245008405,7.96324823641511e-05,0.00016782147825208463,0.00013554960889254836,0.00014321601184243287,0.00013432585212962446,0.00016778101862239175,0.0003166724617524339,0.00024093391925746437,0.00018546062101993372,0.00018453388788579217,0.00014290052415929865,9.339828064023528e-05,0.0002643688160795588,4.8501595961318064e-05,0.0002212858332342096,0.00012737625538020088,0.0002894980970038738,0.00022157614032385388,0.00014282398728866514,0.00016742190078924466,0.00012124415906263716,0.00015774716691176844,0.00018757141321527673,0.00018597837460760378,0.00011129690152263687
Mon-00:15,9.54321084384549e-05,0.00014146766721936376,7.659978654192818e-05,0.0001882713071545728,0.0001826572457429769,0.00015303886595321124,0.00017833062172684815,0.00012626737512529606,0.00012825670923652353,0.00012504552904753232,5.3019607843137255e-05,0.0003356974419531174,0.0002861268581555551,0.0002194216162108964,3.7128042060380495e-05,0.00015745924213433923,,0.00015759544175498035,0.00018109944891242966,0.00015934391234375393,0.0001759961196289987,0.0002265720232517642,0.00010679132991741941,,0.00012970317418292001,7.901003666237858e-05,0.0001550653537624118,0.0002682794465134237,0.00013345529332893974,0.00010546733655670637,0.000399965729553289,0.00023856316811887262,,0.00017218153042070005,0.00018693179427749666,0.00017106541915834218,0.00014324506115941308,7.342548231363694e-05,,0.00010246986351947454,0.00011731349344471518,0.00012541442305513808,,0.00012229364067896788,7.139463936096306e-05,0.00016682597782077886,0.00013543296281048442,0.00014818844657887167,0.00013432585212962446,0.00016272530102460548,0.0003339349995909351,0.00026033923364409214,0.00018322360944409663,0.000201539304608078,0.0001350227311736151,9.544143430801426e-05,0.0002643688160795588,6.164814972674491e-05,0.00023217556797906506,0.0001291248206599713,0.000315961290305745,0.00019483220055066715,0.00014877498675902617,0.0001658013984335144,0.00012609392542514263,0.00015774716691176844,0.00017682210694365373,0.0001849947680502267,0.00011314636061918877
Mon-00:30,9.691556321658961e-05,0.00014757867386882274,8.936641763224953e-05,0.000187464367473314,0.0001919891856277902,0.00014486218552513795,0.00017973903822960424,0.0001276467405285054,0.0001274520451467566,0.00012237752686213805,5.730718954248366e-05,0.00033279016262818047,0.00028329471794211257,0.00021331477166626012,3.79892440092263e-05,0.0001701840484099451,,0.00015888059805966597,0.0001827351858703484,0.0001587995154033362,0.00015464461480219573,0.00021972253779240918,0.0001019139682707376,,0.00013273320977848381,7.951005011210745e-05,0.00015552955465329598,0.0002669079572278449,0.0001353755951231152,0.00010362408830445116,0.0003681185418982654,0.00022152294182466742,,0.00017529169273804705,0.0001778481521003293,0.00016656369760154372,0.0001370170150220473,7.342548231363694e-05,0.00022978250772430782,0.00010246986351947454,0.00011336872026917276,0.000126528362018835,,0.00012064054967584641,7.780185058566486e-05,0.00016713527459803076,0.00013456840949636336,0.00015360997511224502,0.00012872894162422344,0.00015551566823722982,0.0003291693937658513,0.00027630498172409547,0.00018276504200876462,0.00018902674638358261,0.00014215675487741012,9.482636728691817e-05,0.0002643688160795588,6.985764214474469e-05,0.00023510764838824787,0.0001255828550932568,0.0002779405106579526,0.00020143635558465063,0.00014282398728866514,0.00016613483513222433,0.00012124415906263716,0.00015265854862429203,0.00017177391422053595,0.00018311824206487616,0.00011172759747662842
Mon-00:45,9.844602888558072e-05,0.0001448607716107417,7.915311275999244e-05,0.00018988518651709047,0.0001895071054514887,0.00014913089368979386,0.00018313056992302275,0.00012997968651592702,0.00012585834950066396,0.00012117556000728464,5.8875816993464046e-05,0.00033205436971261006,0.00027958888187104374,0.00021125392192323546,3.530927990267816e-05,0.00017086641682884289,,0.00015745684646722012,0.0001829493895195996,0.00015946780136301744,0.00014178260458073066,0.00021646364216828506,0.00010887785466518762,,0.00014681208876337284,7.888819794203326e-05,0.00015434043730267488,0.0002695003550693605,0.000132892838069699,0.00010705464815013271,0.00028692825735836204,0.00022152294182466742,,0.0001627958334866944,0.00018167284354334714,0.00016656369760154372,0.0001370170150220473,7.342548231363694e-05,0.00023024212928370928,0.00010246986351947454,0.00011393433112890126,0.00012532002144804514,,0.00012391348515912155,7.505590291793553e-05,0.00017281996285330162,0.0001349252092767943,0.00016267825897135917,0.00012872894162422344,0.00016477451200358985,0.0003412879407674057,0.0002818219776308404,0.00017998572459636096,0.0001952795127057617,0.0001385919435263466,9.410525422770205e-05,0.0002589735341187515,9.702923876907338e-05,0.0002214047817295111,0.00012589670014347202,0.0003308042686610397,0.0001953135529583919,0.00014282398728866514,0.00016642492506010196,0.00012609392542514263,0.00015774716691176844,0.00018513490379370887,0.00018302057900244158,0.00011195561298168275
Mon-01:00,9.553657708480242e-05,0.00014298900873489342,7.659978654192818e-05,0.00018959574076185632,0.00018567322874896342,0.0001546554972143172,0.0001824385031932202,0.00012810800741575227,0.00012927858326463248,0.00012009652158076852,5.4588235294117645e-05,0.00033489704283032616,0.00028230928833359974,0.00021181329542491358,3.7206333146639205e-05,0.00017153309077410603,,0.0001578670325208943,0.00018310517399178238,0.00015654926196690495,0.00013098618209350746,0.0002082376257328369,0.00010411494374306693,,0.00014759656399847027,7.882332277925198e-05,0.00015732912797001135,0.0002673524715417479,0.00013945481609417432,0.00010922695782088217,0.0002867875792900729,0.00023856316811887262,0.00013852606351108447,0.00016321911001509072,0.00018071667068259267,0.00017106541915834218,0.00014324506115941308,7.342548231363694e-05,0.0002356945818776631,0.00010246986351947454,0.00011797337278106508,0.00012669450884731861,,0.0001167765648953658,7.871716647490798e-05,0.00018339744635876873,0.00013428022505832305,0.00016091428675377948,0.00013432585212962446,0.00015924014658589487,0.00038591436226785564,0.0002821505332183389,0.00018098659786825954,0.0001937584746060406,0.00014189269477733133,9.53000395905209e-05,0.00026976409804036616,9.463529679197568e-05,0.00024218508385868916,0.0001289678981348637,0.000302484398302243,0.00019238693031942548,0.00015472598622938723,0.00016541794622999795,0.00012609392542514263,0.00015774716691176844,0.00018370962540658256,0.0001849947680502267,0.00011031727935277378
Mon-01:15,9.73908955574708e-05,0.0001404078562759611,8.170643897805671e-05,0.00018709598196665233,0.0001774602128795538,0.00014643205472497227,0.00018202569145965371,0.00012752255328963126,0.00012470236479092723,0.00012077035148424695,5.511111111111111e-05,0.0003267961422915822,0.00028182821246172733,0.00021309606924455136,3.848308009178124e-05,0.00017266241050738185,,0.00015672537133737453,0.00018333885070005644,0.00015357354302344004,0.00013940469430247964,0.00022599155838232734,0.00010006514887398094,,0.000150420674844821,7.916510412463626e-05,0.00015517663479789774,0.0002678921528767846,0.00013707432363334733,0.00010734462564535752,0.00028333620683272323,0.00022720301725606917,,0.0001697062828959476,0.00017832623853070653,0.00017106541915834218,0.00014324506115941308,7.126590930441233e-05,0.00023759203538035903,0.00010273803123441357,0.00011394883397145841,0.0001261356513333283,,0.00011416301878428546,7.597121880717864e-05,0.00018825604799539944,0.00013467819404418827,0.0001564045891701315,0.00012872894162422344,0.00016392192057437737,0.0003905674752515749,0.0003112208578038797,0.00018556828467866386,0.00019716939376268996,0.0001415098076322171,9.603529212148634e-05,0.0002589735341187515,9.263679330169826e-05,0.00021559414773403117,0.00013732962697274033,0.00028699034345263644,0.00019916437222018983,0.00014877498675902617,0.0001632272671194737,0.00012124415906263716,0.00014756993033681565,0.00017316734281130192,0.00018754795953958842,0.00011318858571271736
Mon-01:30,9.661260414218183e-05,0.0001432368677458505,8.170643897805671e-05,0.00018837656015647614,0.00017451806749894922,0.00015203014148863683,0.00018581789336506317,0.0001283608171520318,0.00012734261741266764,0.00012033327262793661,5.82483660130719e-05,0.0003336192756208477,0.00028161871167881514,0.00021216237813648713,4.2180828319692614e-05,0.00017128266156437054,,0.00017207794934972212,0.00018324148540494226,0.0001516187172483296,0.00015314452015900058,0.00022878608211090195,0.00010287359357667318,,0.00014872179566381314,7.835970271352235e-05,0.00015527201854259996,0.00026803851734599657,0.00014311929732862159,0.0001102683552602548,0.0002793866436222593,0.00023856316811887262,,0.0001754941293385844,0.0001859756214167422,0.00017331627993674145,0.00014324506115941308,7.342548231363694e-05,0.00023446030816454288,0.00010273803123441357,0.00011704519085740806,0.000130228905016879,,0.00011733990875676474,7.688653469642175e-05,0.00018907514046581026,0.00013853437628653768,0.00015842551125633706,0.00012872894162422344,0.0001720738912571984,0.000372338521639532,0.00031772009801908364,0.00019014997148906814,0.0001937514490259033,0.00014196311080401898,9.298470109156722e-05,0.0002589735341187515,8.896655584917456e-05,0.0002412037587724515,0.00012663647776183645,0.0003282652008094747,0.0002023798063037911,0.00014282398728866514,0.00016388747178291938,0.00012609392542514263,0.00015774716691176844,0.00018026188495057308,0.0001853505406348099,0.00011144046684063405
Mon-01:45,9.281516884744965e-05,0.00014582656706722962,8.936641763224953e-05,0.0001917358851338906,0.00017802819461326124,0.00014488222640854007,0.00019651457387306445,0.00012535371186786476,0.0001282089888712817,0.00012058368238936442,5.626143790849673e-05,0.00033109963353923573,0.00028365940449014495,0.00021301195292850952,4.2981806356031724e-05,0.0001656271921085457,,0.00018305217622600832,0.00018283255116546257,0.00015516027546246937,0.0001592324436872989,0.00022373603774680125,0.00010074304931945838,,0.0001485477402210259,7.960815401680109e-05,0.00015043606268619702,0.0002674446269482888,0.00013627893235765336,0.00011438603569244736,0.0002820764505971414,0.00022720301725606917,,0.0001810427325260407,0.00018310710283447884,0.00017331627993674145,0.0001370170150220473,7.126590930441233e-05,0.00023802661604636603,0.00010273803123441357,0.0001138980740225084,0.00012847681118923369,,0.0001141279252322639,7.688653469642176e-05,0.00019001468771128154,0.00015684781117057775,0.00015719306144399003,0.00012872894162422344,0.00016840924388602198,0.00032152243720854126,0.0003156666255972182,0.00019378661062839688,0.00019509333483212375,0.00013980661998670897,9.650189468921441e-05,0.0002589735341187515,8.277451008249747e-05,0.00023085523968121804,0.0001324874461979914,0.0003454423993016911,0.0001921558811637176,0.00014282398728866514,0.00016351402268036425,0.00012609392542514263,0.00016283578519924485,0.00018472085644102414,0.0001870108126961981,0.00011274099972131438
Mon-02:00,9.741178928674032e-05,0.00014755303328148236,8.170643897805671e-05,0.00018981501784915488,0.0002024514091626813,0.0001542880810186113,0.00021148102280177752,0.00012740723656781954,0.000126183341643259,0.00012727189947186305,5.65751633986928e-05,0.0003317851771825233,0.00028558681169293704,0.00021232640495276868,4.366835895860811e-05,0.00015991440370553345,,0.00018186291666083353,0.00018248203610305144,0.00015389041301501797,0.0001582599848570888,0.00021481346346802883,0.00010073424541756907,,0.00014882230655331,7.903377147803026e-05,0.00015115779968777722,0.0002697093611221035,0.00013947186019293918,0.00012404732937030757,0.0002828327274304252,0.00021016279096186397,,0.00017182266553792923,0.00018358518926485606,0.00017106541915834218,0.00014324506115941308,7.558505532286157e-05,0.00023748379409923467,0.00010273803123441357,0.00011474649031210118,0.00012702302644000213,,0.00011793834617018524,7.871716647490798e-05,0.00019080891209909934,0.00017063263345684095,0.00015938793631736268,0.00013432585212962446,0.00017270211652082866,0.00032082191360549784,0.00032164907525291937,0.00018923682416132004,0.00020043980131659374,0.00013833668542960378,9.625445393360104e-05,0.0002589735341187515,9.088928669527084e-05,0.00022497323658855715,0.00011493454088952654,0.0003678699621488395,0.00019373471706105472,0.00014877498675902617,0.0001627604557412798,0.00012124415906263716,0.00014756993033681565,0.0001900994908013807,0.00018235088943146147,0.00011176982257015699
Mon-02:15,9.848781634411972e-05,0.00014167279191808687,8.170643897805671e-05,0.00018829762040504863,0.00017610841635333008,0.00014761446684569856,0.00027114445982370506,0.00012867572050774838,0.00012823449458373854,0.00012058368238936442,5.67843137254902e-05,0.0003353780001507478,0.0002840861653442253,0.00021797481557497708,4.11208874595747e-05,0.00016380322132483193,,0.0001883775951617645,0.0001827351858703484,0.00015818840899100735,0.00015199223925799736,0.00018202549070012357,0.00010201081119152008,,0.0001502147500956079,7.965878829019136e-05,0.00015092569924233512,0.00027191807926449146,0.00013162589339484358,0.00013357372047430232,0.0002796859811660625,0.0002328830926874709,,0.0001721631270933785,0.00017880432496108378,0.00017331627993674145,0.00014324506115941308,7.558505532286157e-05,0.00023889900846139865,0.00010260848161367006,0.00011622578025292957,0.00015166939801983188,,0.0001240335420476164,7.96324823641511e-05,0.0001942274963280722,0.00017051598737477698,0.00015796277410354625,0.00012872894162422344,0.00017386882058185627,0.00031512312852818457,0.00032901419633934314,0.00018555233450700013,0.0001900173531829391,0.00014849419727930077,9.526822577908489e-05,0.0002481829701971369,8.800755832125708e-05,0.00024359462352801237,0.00014026631994261117,0.0003366548237722511,0.00019864451161984712,0.00014877498675902617,0.00016550130540467545,0.00012609392542514263,0.00016792440348672126,0.00018352648907751047,0.00018742239274502966,0.0001129099000954287
