,CT0013ZZ,CT0024ZZ,CT0053ZZ,CT0059ZZ,CT0061ZZ,IA0027ZZ,IA0030ZZ,IA0087ZZ,IA0112ZZ,IA0119ZZ,IA0121ZZ,IL0032ZZ,IL0054ZZ,IL0154ZZ,IL0173ZZ,IL0205ZZ,IL0214ZZ,IL0236FC,IL0302ZZ,IL0303ZZ,IL0311ZZ,IL2125ZZ,IN0031ZZ,IN0048ZZ,IN0096ZZ,IN0133ZZ,IN0300ZZ,IN1703ZZ,MA0011ZZ,MA0013ZZ,MA0050ZZ,MA0051ZZ,MA0076ZZ,MA0113ZZ,MA0131ZZ,MA0153ZZ,MA0158ZZ,MI0000BC,MI0000MC,MI0029ZZ,MI0072ZZ,MI0073ZZ,MI0118ZZ,MI0137ZZ,NE0036ZZ,NE0051ZZ,NE0056ZZ,NE0531ZZ,NJ0000FB,NJ0145ZZ,NY0281ZZ,NY0300ZZ,NY0304ZZ,NY0371ZZ,OH0033ZZ,OH0046ZZ,OH0192ZZ,OH0194ZZ,OH0195ZZ,OH0215ZZ,OH0301ZZ,OH0302ZZ,PA0000ER,PA0000NC,PA0158ZZ,PA0233ZZ,PA0267ZZ,RI0009ZZ,RI0010ZZ
Mon-00:00,0.00010529264279558097,0.00014138048922240646,6.766314477870322e-05,0.00018488216049328574,0.00017502016335154663,0.00013519913957807262,0.0001929227070736505,0.0001105177720809346,0.00012883182191417904,0.00011225338432586658,5.6039215686274515e-05,0.0003743098202631387,0.0002639652963246321,0.00020323343118864768,3.572683236272461e-05,0.00014139615307980161,,0.000145403139626586,0.00018188810780285475,0.00013992669105533192,0.00011828979746356237,0.00017418230466666112,9.639979105406182e-05,8.695392878506667e-05,0.00015063640553447278,7.516578768732704e-05,,0.00026580088770351737,0.00013231144492294175,0.0001115465256283371,0.00024818705105979244,0.00022341630030180135,,0.00015871949648496445,0.0001767246489889428,0.00017838071668813973,0.00014013103809073019,6.910633629518771e-05,0.00019777580322704415,0.00010243941935859982,0.00011375062845651082,0.00010942279081359081,0.0001204604499474877,0.0001019486156517242,6.956400758247683e-05,0.00017262490383046185,0.00011148620831617947,0.00012985447655559836,0.00012537079532098282,0.0001604866252835739,0.0002192881759797104,0.00021203471737374566,0.0002134232657178973,0.00017411319614717185,0.00015102697373922306,8.870044115151858e-05,0.0002562758931383479,4.264105551293344e-05,0.00020416914476031878,0.00013562589670014348,0.0002961876144113629,0.00016224464254770206,0.00014282398728866514,0.000159309385909632,0.00010992803755012437,0.00015265854862429203,0.00017706695225317402,0.00016715207534007674,0.00011344193627388885
Mon-00:15,0.0001030565784777177,0.00014513427120903916,7.021647099676749e-05,0.0001846085026883371,0.00017681129374879303,0.00013453779042580196,0.0001783549047699991,0.00011061534776862143,0.0001295887656387042,0.00011899775390032174,5.731045751633987e-05,0.0003736619635740632,0.0002634229220755372,0.00020371289419008603,3.515069026641051e-05,0.00014254079198408172,,0.00014591948873738292,0.00018370883882149047,0.00014097974771907213,0.00012713420405072875,0.00019790120487922185,0.00010427928324500084,8.232747014036604e-05,0.00015083987879857617,7.48141168354212e-05,,0.0002644134368605966,0.00013055590275016003,0.00011158460093423183,0.0002505555725967585,0.0002158428663932657,,0.00016220232618057345,0.0001784856006741656,0.0001772552862989401,0.00014324506115941308,,0.00020018619115894911,0.0001040704490837603,0.00012249100823761457,0.00011446006056807112,0.00011915378426350733,0.000109632256515395,6.681805991474748e-05,0.00017987783554426133,0.00011039293719408992,0.00013696621791395365,0.00012537079532098282,0.0001583187495325705,0.00021975987891679618,0.00022049160129779458,0.00018833962700523564,0.00017376718632541082,0.00015636465526220434,8.944629828629602e-05,0.0002508806111775405,5.1949251271559685e-05,0.00020074194123944334,0.0001367523762553802,0.00029803907241823384,0.0001619365770067582,0.00014282398728866514,0.00016073538352444813,0.00010831144876262254,0.00015096234252846656,0.00017253930463932097,0.00016785315660969652,0.00011334059604942025
Mon-00:30,0.0001061701794249001,0.00014099758978479,6.957813944225142e-05,0.0001856417363236881,0.00017159409753382331,0.00013488516573810576,0.00018128202326315535,0.00010728890387020661,0.00013005691887702463,0.00011605354215989801,5.686056644880175e-05,0.00037363863355478906,0.00026275691650022993,0.00020514006768559566,3.476525722636764e-05,0.00014301827928520544,,0.00014584739118869957,0.0001820974431873503,0.0001411757067928111,0.00015163732727616882,0.0001863444257405764,0.00010052001713826233,7.890642083785888e-05,0.00015000637386128516,7.555424750349298e-05,,0.0002677783138451753,0.00013097480882202553,0.00011192828730465919,0.00024705416951813,0.00021584286639326572,,0.0001596166586918915,0.00017397565201427372,0.0001778180014935399,0.0001370170150220473,7.342548231363694e-05,0.0001999014519679315,0.0001040704490837603,0.00011448543914607263,0.00011267020609758861,0.00012139553737585909,0.0001040542287730186,6.956400758247683e-05,0.00018259001080207337,0.00011165088513791684,0.00014407810139059905,0.00012649017742206303,0.000149126218432927,0.00022096278532275217,0.00018567383556705502,0.0001840191242558248,0.00016941483943036598,0.00015031071071775935,9.01850856851988e-05,0.0002508806111775405,5.8663812563735844e-05,0.00020758891400023789,0.00014300125538020087,0.00028670025125376804,0.00015710379883320175,0.00014579948702384565,0.0001623958982840236,0.00010507827118761888,0.0001492661364326411,0.00017580490407239458,0.0001668381583536798,0.00011231874878602855
Mon-00:45,0.00010460184387160803,0.00014078391822362011,6.830147633321928e-05,0.00018397347624352038,0.00017948790766888936,0.00013208946250350717,0.000185030718049586,0.00010891220849263303,0.00013148770706936073,0.00011348873914891034,5.350816993464053e-05,0.0003721843956866982,0.00026356957262357574,0.0002014950273237833,3.439789136007677e-05,0.0001429203594170936,,0.0001447036300765774,0.0001819562635094347,0.00013932709996851154,0.00011826613666477381,0.00018354713789357595,9.891477236044347e-05,9.806556197918456e-05,0.00014949891644358153,7.452573882525321e-05,,0.0002638318940827194,0.00013176906382446847,0.00011393518372595865,0.0002521207483227049,0.00021868290410896656,,0.00016319150502410834,0.00017600751934337698,0.00017838071668813973,0.0001370170150220473,7.126590930441233e-05,0.00019635978109412548,0.0001040704490837603,0.00011357176006497273,0.00011487542763928013,0.00011923285980137453,0.00011930330064091908,6.315679635777501e-05,0.00018288531928286667,0.0001102877270024244,0.00014596173720850117,0.00012984832372530365,0.00015470545708373844,0.00023469969524666612,0.00018533615343545938,0.00018596903274171488,0.0001758327068857711,0.00014368170195536503,8.99659238730841e-05,0.0002522294316677423,5.8864294351465095e-05,0.00020776733674319017,0.00014033357245337157,0.00028408898654311434,0.0001617873577603635,0.0001398484875534846,0.00016066536181771904,0.00011154462633762619,0.00014926613643264112,0.00018127013006660587,0.0001666881757935124,0.00011263754824216937
Mon-01:00,0.00010572618767792317,0.00014093206383936457,6.893980788773535e-05,0.00018521195323258283,0.00017755563381081663,0.00013852703960523914,0.00018566814793229887,0.00010814934402526323,0.0001235171719266028,0.00011110301705821648,5.7120915032679736e-05,0.0003724805074697936,0.00026278019436499795,0.0002049241691410883,3.459663027134888e-05,0.00014038672547772615,,0.0001467563102854503,0.00018204389227503747,0.00013883531615326182,0.000115620859360212,0.0001810138233562479,0.0001011538980742932,0.00010072216127907124,0.00015096000156895046,7.534221648367124e-05,,0.0002630539940333892,0.00013353909348120038,0.00011215415455800496,0.0002522061600070233,0.00022010292296681698,,0.00015903235304943133,0.00017567285884211291,0.00018367023951737792,0.00014013103809073019,7.126590930441233e-05,0.00019908519962034775,0.0001040704490837603,0.00012146614069690994,0.00011374260835416462,0.00011908545685700072,0.00010275761437727416,7.002166552709838e-05,0.00018526488393599578,0.00011260235121906589,0.00015212512321655756,0.00012537079532098282,0.0001602148929274799,0.00024121149676838746,0.00018704167636361975,0.0001861743912018853,0.00017194756106985533,0.00014657756105289563,8.997417189827121e-05,0.0002481829701971368,5.869380590205755e-05,0.0002097448554775782,0.0001441613611908178,0.0002860630922262684,0.00016681267689700984,0.00014579948702384565,0.00016106993167882045,0.00010507827118761888,0.00014756993033681565,0.00017645318013581284,0.0001705545866759679,0.00011347149383935885
Mon-01:15,0.00010562476603376079,0.0001404659749405993,6.893980788773535e-05,0.0001842015244143109,0.00017898921970669425,0.0001324067764907077,0.00018648162987785629,0.00011010972829606239,0.00012428604574243838,0.00011085108966187095,5.677941176470589e-05,0.0003692394294075491,0.00026324109608740474,0.0002042063765775314,3.3637062598742125e-05,0.000139252629165518,,0.00014354187957609443,0.00018321714408116373,0.00013901817158073256,0.00012878572780617074,0.00018555526992998487,9.701019491838782e-05,0.00010141613007577633,0.00014998431049529807,7.474528587003132e-05,,0.00027037251865544656,0.0001318224686672651,0.00011340112082605762,0.00025281091704119115,0.00021868290410896656,,0.00017034579852037246,0.00017856528174589514,0.00018231972305033837,0.00014480207269375453,7.234569580902463e-05,0.00020033441709242918,0.00011375881747106186,0.00011547163243995823,0.00011220952625497496,0.00012200587769240691,0.00011085498974898875,6.86486916932337e-05,0.00018848685488696677,0.00011481176524404189,0.00014631134820231734,0.00012649017742206303,0.0001555119288011368,0.0002337933608770351,0.00019610433465211896,0.00013017533226201345,0.00017207929069742935,0.00014898600921569747,8.983277718077787e-05,0.00024683414970693503,5.7017336149549934e-05,0.00019636909718092068,0.00014186917144906743,0.0002937442291441323,0.00016140708935826094,0.00013687298781830408,0.00015986733665213993,0.00010831144876262254,0.00015096234252846656,0.00017239498524956306,0.00016804499476805022,0.00011299857279183873
Mon-01:30,0.00010673735711736181,0.00014108647715423668,7.085480255128355e-05,0.00018486812675969864,0.00016813679272074608,0.0001321462450064799,0.00018558922804205822,0.00010610912510090213,0.00012705300416154496,0.0001106780792812481,5.604738562091503e-05,0.00037117402639043925,0.0002641701415345906,0.00020321660792543933,3.480942142887255e-05,0.00014068880997677218,,0.00014331956713471743,0.00018427355753315288,0.0001387836957285687,0.00013068805602877153,0.00018561884465378035,0.0001007958727307943,9.938934360310768e-05,0.00015120024710969904,7.48398295523772e-05,,0.0002701791729985864,0.00013133727998909176,0.00011371354005786942,0.00025431527330152385,0.000220102922966817,,0.00017686057639221172,0.00017561708209190224,0.00017931857534580608,0.0001370170150220473,7.126590930441233e-05,0.00019686988832569318,0.00011375881747106186,0.00011542328963143442,0.00010879596414249356,0.00012187229377406814,0.00010259138176243512,6.658923094243669e-05,0.0001853076259529527,0.00011660491285851516,0.00014671254813546487,0.00012649017742206303,0.0001503313140378431,0.00022732502249856826,0.0002010532031888145,0.00012863015938209034,0.0001773994112563845,0.00014277289511092727,8.955823577097826e-05,0.0002355939789552531,6.824668415751871e-05,0.0002160208754609254,0.00014200928084648497,0.000285253269626129,0.00015941910391435778,0.00014877498675902617,0.00015980620659070978,0.0001066948599751207,0.00014926613643264112,0.00017121952870263835,0.00016933728636205092,0.00011276000101340225
Mon-01:45,0.0001058907257959205,0.0001376002119621887,6.766314477870322e-05,0.00018403487382796395,0.00017601640331246947,0.0001363815516987989,0.00019531155144362691,0.00010728890387020661,0.00013014660025308252,0.00011027438839312815,5.253431372549019e-05,0.0003694212839167633,0.0002644766334207029,0.0002021791733609235,3.4249339042560245e-05,0.00014085483021309,,0.00014356973862888662,0.00018310517399178238,0.00013855219797782943,0.00013587923528298314,0.00017538331412271025,0.00010010329911550133,0.00010230798841216686,0.00015053834613008559,7.450477307142754e-05,,0.0002672082152027509,0.00013151567488949744,0.00011477107537523718,0.000251892807542883,0.0002177362248703996,,0.0001656207442305569,0.00017820671692311222,0.00018186955089465853,0.0001370170150220473,7.126590930441233e-05,0.00019818615077041136,0.00011375881747106186,0.00011726998491704373,0.00011268531035472347,0.0001181135186925359,0.00010553554607413975,6.86486916932337e-05,0.00018737944808399192,0.00013481999908512875,0.00014661875006395322,0.00012760955952314325,0.00015707725674968216,0.0002208208909433036,0.00020154831820608647,0.00013025109557741616,0.00017382339096650906,0.00014855141030098448,8.95464528778538e-05,0.0002481829701971368,7.509305827863495e-05,0.0002083541493200111,0.00014246323529411764,0.0002853863554025214,0.00017062498796618979,0.00013687298781830408,0.00016099990997209135,0.00010507827118761888,0.00014926613643264112,0.0001824117462048977,0.00016964248343215904,0.00011327936966380381
Mon-02:00,0.00010450782208989526,0.0001396129980684091,7.085480255128355e-05,0.00018471375569024045,0.00017062625665958584,0.0001356667601907892,0.0002042628882251524,0.00010912510090213158,0.00012466492898715993,0.00011056273902749955,5.867156862745098e-05,0.000370556678188107,0.00026523781959861715,0.00020355026931240518,3.424331665130957e-05,0.0001394515395596267,,0.00014265962957259453,0.0001839717251182988,0.00013826451338021264,0.00012230266893810334,0.000169544113948018,9.83102377640437e-05,0.0001023929273013469,0.00015029074613400798,7.422035086386817e-05,,0.0002700934925634201,0.0001310066244730533,0.00011598898085518146,0.00025355423668397463,0.0002158428663932657,,0.0001696004637638485,0.00017960113567837914,0.0001854709281400973,0.00014324506115941308,7.234569580902463e-05,0.00019833195339162747,0.00011375881747106186,0.00011562632942723441,0.00011127306231261281,0.000119327289812614,0.00011075525018008533,6.86486916932337e-05,0.00018634509127363438,0.0001409679337633228,0.00014680975704594058,0.00012537079532098282,0.0001560661132301249,0.00022506749570481876,0.0002048247475369739,0.00013171452382756269,0.00017481926695096849,0.0001478179100229879,9.085317572535491e-05,0.00024413650872653138,7.48925764909057e-05,0.00020660758891400023,0.00014674497847919657,0.00028385717373652234,0.00016367907272272174,0.0001398484875534846,0.00016414199512960128,0.00010992803755012437,0.00014756993033681565,0.00017698135592545555,0.0001708039762818277,0.00011096473078687871
Mon-02:15,0.00010577319856877953,0.00013949163262166458,6.893980788773535e-05,0.00018493829542763418,0.00017659574468085107,0.00013383969965396073,0.0001992261803582558,0.00011273540134654448,0.00012992116266556086,0.00011062951496388028,5.750490196078431e-05,0.0003738037383065756,0.0002641885051834632,0.00020505034361515103,3.443402570758078e-05,0.000139676721137863,,0.0001523632363166319,0.00017834887932545324,0.00013855517607925402,0.0001230645466590952,0.00017293983343422365,0.00010251556823317428,9.946795725585943e-05,0.00015140372037380245,7.50008307185478e-05,,0.00027142869189315517,0.00013127819378004022,0.00011891882521291283,0.0002541185355518864,0.0002177362248703996,,0.0001626256027089698,0.00017214099533770114,0.00017838071668813973,0.00014013103809073019,7.126590930441233e-05,0.00019582059411539006,0.00011402698518600086,0.00011566016939320107,0.00011414287116823878,0.00012383996953672482,0.00012104320200956762,6.590274402550435e-05,0.00018611039874416187,0.0001444352957321257,0.00014718963923556277,0.00012875524710359882,0.00015615585969635777,0.00023056047001554446,0.00021059614586042775,0.000128249349033619,0.00017340009976323797,0.00014637621522658556,8.922242331693154e-05,0.00023469476529511856,7.168092139535325e-05,0.0002019626501724753,0.00013052965088474413,0.0002953651791069249,0.00016371758091533975,0.00014282398728866514,0.00016654496227163753,0.00010346168240011705,0.0001492661364326411,0.00017542967365902402,0.0001695692361353331,0.00011205695320615135
