Building ID,Climate Zone,Regions,Function,Area,year,floors
AK0001ZZ,7,10,O,101974,1939.0,3.0
AK0013ZZ,7,10,CT/O,351391,1966.0,9.0
AK0031AA,7,10,CT/O,652054,1979.0,5.0
AL0003AC,3A,4,CT/O,325865,1933.0,5.0
AL0011ZZ,3A,4,CT/O,179189,1921.0,3.0
AL0039AB,2A,4,CT/O,145995,1935.0,4.0
AL0076AB,3A,4,O,331698,1934.0,5.0
AR0030RK,3A,7,CT/O,283398,1881.0,4.0
AR0031ZZ,3A,7,CT/O,58916,1881.0,3.0
AR0062ZZ,3A,7,CT/O,72901,1961.0,3.0
AR0063RK,3A,7,CT/O,347697,1961.0,7.0
AR0066ZZ,3A,7,CT/O,39077,1959.0,3.0
AR0078ZZ,3A,7,CT/O,107959,1966.0,3.0
AR0079ZZ,3A,7,CT/O,54947,1974.0,2.0
AR0084ZZ,4A,7,CT,63760,1974.0,4.0
AZ0052ZZ,2B,9,CT/O,304848,1962.0,7.0
AZ0303ZZ,2B,9,CT,579922,2000.0,6.0
CA0000AA,3C,9,O,673367,,
CA0000OO,3C,9,O,413020,,
CA0083ZZ,3B,9,O,189904,1933.0,4.0
CA0093ZZ,3C,9,O,353447,1933.0,4.0
CA0150CC,3B,9,O,1192628,1965.0,6.0
CA0152ZZ,3B,9,O,362190,1961.0,8.0
CA0154ZZ,3C,9,O,1427964,1964.0,21.0
CA0167ZZ,3B,9,CT/O,895248,1975.0,6.0
CA0200ZZ,3B,9,O,280365,1975.0,9.0
CA0224ZZ,3B,9,O,213877,1973.0,6.0
CA0260ZZ,3C,9,O,269337,1982.0,3.0
CA0283CC,3B,9,O,1307777,1993.0,22.0
CA0306ZZ,3B,9,CT/O,773987,1992.0,16.0
CO0000AA,5B,8,O,3456919,,
CO0006ZZ,5B,8,O,278037,1931.0,4.0
CO0009ZZ,5B,8,CT,269946,1916.0,4.0
CO0018ZZ,5B,8,CT/O,41598,1918.0,3.0
CO0039ZZ,5B,8,CT/O,790940,1965.0,18.0
CO0046ZZ,5B,8,O,87144,1972.0,4.0
CO0054ZZ,5B,8,O,313265,1984.0,10.0
CO0061ZZ,5B,8,CT,326686,2002.0,11.0
CT0013ZZ,5A,1,O,191445,1933.0,3.0
CT0024ZZ,5A,1,CT,117002,1919.0,3.0
CT0053ZZ,5A,1,CT/O,391646,1963.0,6.0
CT0059ZZ,5A,1,CT/O,114011,1967.0,4.0
CT0061ZZ,5A,1,O,176062,1977.0,6.0
DC0010ZZ,4A,11,O,640332,1961.0,7.0
DC0011ZZ,4A,11,O,676668,1912.0,4.0
DC0021ZZ,4A,11,O,811109,1917.0,8.0
DC0048ZZ,4A,11,O,80930,1848.0,5.0
DC0078ZZ,4A,11,O,53581,1911.0,6.0
DC0083ZZ,4A,11,O,1111139,1960.0,10.0
DC0084ZZ,4A,11,O,421319,1960.0,10.0
DC0114ZZ,4A,11,CT,249978,1972.0,5.0
DC0313ZZ,4A,11,O,150003,1982.0,8.0
DC0459AF,4A,11,O,3993881,1996.0,9.0
DC0463ZZ,4A,11,O,537585,1997.0,7.0
DC0501BC,4A,11,O,208235,1880.0,5.0
DC0505ZZ,4A,11,O,692023,1999.0,9.0
DE0016ZZ,4A,3,CT/O,208264,1973.0,7.0
FL0009ZZ,2A,4,CT/O,163362,1998.0,6.0
FL0010ZZ,1A,4,O,592154,2007.0,14.0
FL0029AD,1A,4,CT,178507,1933.0,3.0
FL0061ZZ,1A,4,O,293949,1964.0,18.0
FL0064AE,2A,4,O,114729,1964.0,6.0
FL0065ZZ,2A,4,CT/O,105697,1964.0,4.0
FL0066AC,2A,4,CT/O,73248,1973.0,4.0
FL0067ZZ,2A,4,O,334195,1966.0,11.0
FL0082ZZ,2A,4,CT/O,208647,1975.0,6.0
GA0005ZZ,3A,4,CT/O,42855,1942.0,2.0
GA0007ZZ,3A,4,O,359897,1933.0,10.0
GA0009ZZ,3A,4,CT,57485,1916.0,3.0
