building,balancePoint,slope1,slope2,intercept1,intercept2,baseLoad
DC0010ZZ,14.016264682911032,-3.924218882907695e-08,1.3483960429832597e-05,0.0004268703389339701,0.0002373255516701725,0.0004267915354254329
DC0011ZZ,2.3091216232138745,-3.629559215007662e-06,1.1443303979031183e-05,0.0010662693974295312,0.0010314643231044316,0.0010802266466715148
DC0021ZZ,12.412966522270205,2.178386020146275e-07,7.64748284005641e-06,0.0002956753224945647,0.00020345139729537433,0.00029593814112152444
DC0078ZZ,5.039718034378426,2.2676907056042017e-06,1.8408535216349522e-05,0.0006548212985653692,0.000573475993394468,0.0006491971059100611
DC0313ZZ,15.150629888977093,-3.414838121308448e-06,2.017513839117391e-05,0.00043285285200857264,7.544984877828979e-05,0.00042405856836175783
DC0459AF,15.242697552580443,2.4262382841355817e-07,5.679123667130505e-06,0.0003842983712479411,0.00030143144846172637,0.00038493437292365184
DC0463ZZ,15.96257099532936,-4.5553839999337587e-07,9.008610851388326e-06,0.0006564150023647713,0.0005053428480291976,0.0006550569123392417
DC0501BC,14.85962788563128,1.5863769348466661e-06,1.5428372108041088e-05,0.0004099917509627744,0.00020430485349440098,0.00041384635175762595
DC0505ZZ,14.516218292465279,-2.9668383518839488e-06,1.5109613198163138e-05,0.0008183569725273241,0.0005559552558736683,0.0008116575277095411
MD0000HC,12.753189135069482,-2.5696923099015964e-06,5.483337165285363e-06,0.0007926259851284761,0.0006899241771211275,0.0007890885606544297
MD0334ZZ,13.049403342357177,2.144201130907319e-06,2.4095120726988725e-05,0.0010677663007711655,0.000781319897226247,0.001071035567818803
MD0778AG,16.35891940275085,2.0462865553719197e-06,6.9343129466866735e-06,0.00035591089310591726,0.00027594806333188014,0.0003624169787461886
MO0000AF,11.655918251478273,-9.892513457885767e-07,3.609570696128278e-06,0.0004198670958390502,0.000366263602065371,0.00041904803615965485
MO0127ZZ,9.260238244643594,-3.1240996849822035e-07,7.547561171892549e-06,0.0003863837789225344,0.0003135985735664929,0.00038649933339587796
NC0002AE,10.78390415771027,-7.619615597883639e-07,9.87267081761858e-06,0.00034466037479448684,0.00022997751848404785,0.0003443617223771201
PA0000AT,11.777628938823206,-6.570936706732378e-07,1.3583159183182759e-05,0.0009070413006947859,0.0007393248865870518,0.0009064572663325328
PA0144ZZ,10.808140279405793,5.568647333458438e-07,1.1301240908831245e-05,0.00035672464631519624,0.0002405979213958445,0.0003569496587257949
VA0088ZZ,15.841635822772538,1.769201244250014e-06,5.856934675616541e-06,0.00024715135276664514,0.00018239496840636427,0.00025231886744969743
WV0054FP,8.088402536278188,2.7095498206319856e-06,1.137542980186407e-05,0.00038304002879485926,0.0003129469031755793,0.0003804502445123853
WV0226ZZ,13.850867866265643,-2.978434228502773e-07,9.679557945839292e-06,0.0009350141145110572,0.00079681844650464,0.0009344406366779409
