building,Original,After,Potential Energy Saving
DC0011ZZ,7107598.826999987,6341568.5240505645,10.78
DC0021ZZ,2991346.3960000533,2947999.545764857,1.45
DC0078ZZ,531089.3429999998,473152.4454177701,10.91
MD0000HC,8203547.2010001475,8179244.069411345,0.3
MO0000AF,8106720.092000096,8064607.060089791,0.52
MO0127ZZ,5406511.511999982,5189738.667357602,4.01
NC0002AE,916052.0000000009,881477.3175935164,3.77
PA0000AT,3657204.9469999466,3631774.514607372,0.7
PA0144ZZ,2748744.014999981,2664122.6163647603,3.08
WV0054FP,1145047.8540000282,1084147.5304722067,5.32
