building,Original,After,Potential Energy Saving
DC0021ZZ,3880819.673999886,3854593.1992236315,0.68
DC0313ZZ,642618.1880000093,641533.1437681387,0.17
MD0000HC,10939532.016999938,10593304.868331617,3.16
MD0334ZZ,8472744.396000063,8327296.1660161745,1.72
MD0778AG,12031314.373000903,11859137.77880919,1.43
MO0000AF,13074946.598000055,13038138.525314786,0.28
NC0002AE,1024133.9999999559,994268.3777925599,2.92
PA0144ZZ,1961956.064999963,1961264.096743265,0.04
VA0088ZZ,1200871.27900001,1029204.4620707419,14.3
WV0054FP,1422333.6019999387,1329596.8749252905,6.52
