building,Original,After,Potential Energy Saving
DC0010ZZ,2856811.5100000403,2742076.284280575,4.02
DC0011ZZ,7107598.827000043,7026392.47394135,1.14
DC0078ZZ,531089.3429999964,472115.111403652,11.1
DC0313ZZ,780118.6200000006,704551.6490450669,9.69
DC0501BC,1123505.9280000206,1058746.0169893827,5.76
DC0505ZZ,5919830.625000117,5733696.320097935,3.14
MD0334ZZ,5908062.340999995,5479047.819632891,7.26
PA0000AT,3657204.9470000193,3588403.150736845,1.88
PA0144ZZ,2748744.014999952,2717018.620123136,1.15
WV0054FP,1145047.8540000033,1128287.681265206,1.46
