building,Original,After,Potential Energy Saving
DC0010ZZ,2392744.5620001014,2246248.3171780356,6.12
DC0011ZZ,7928016.344000239,7791513.929703465,1.72
DC0078ZZ,438885.3520000251,433408.49943299487,1.25
DC0459AF,21969197.64799894,21850839.96018441,0.54
DC0463ZZ,6300285.190999995,6199958.236251026,1.59
DC0505ZZ,8395852.879000435,7998410.778840357,4.73
MD0334ZZ,8472744.39600044,7508336.2517459085,11.38
MO0127ZZ,5590511.885000029,5396442.988186006,3.47
WV0054FP,1422333.6020000752,1343470.053726818,5.54
WV0226ZZ,2651925.9730001315,2597569.7673555077,2.05
